#
# Out-degree Distribution. G(8145, 10270). 471 (0.0578) nodes with out-deg > avg deg (2.5), 433 (0.0532) with >2*avg.deg (Wed Oct 14 18:08:21 2015)
#
# Out-degree	Count (CCDF)
0	8145
1	487
2	483
3	471
4	456
5	443
6	433
7	422
8	408
9	397
10	381
11	371
12	357
13	350
14	329
15	312
16	295
17	283
18	269
19	254
20	240
21	223
22	205
23	196
24	189
25	171
26	153
27	144
28	134
29	121
30	113
31	108
32	98
33	85
34	80
35	74
36	71
37	65
38	60
39	51
40	46
41	41
42	37
43	35
44	32
45	31
46	29
47	26
48	22
49	19
50	18
51	17
52	16
55	13
56	12
57	9
58	8
61	5
64	4
73	2
79	1
